venue_id,pricing_model,label,price,currency,tier_audience,days,time_start,time_end,duration_minutes,group_size_min,group_size_max,venue_confidence,notes,source_quote,data_quality_notes
ph-banay-banay-pickleball-lipa,session_per_player,Open Play Session (6 hrs),250,PHP,,wed|fri|sat,16:00,22:00,360,,,medium,Session is 4PM–10PM (6 hours) based on Reclub activity listings; price sourced from Facebook post.,6 HOURS OF OPEN PLAY for ONLY ₱250!,"Price of ₱250 comes from a truncated Facebook post snippet (""6 HOURS OF OPEN PLAY for ONLY ₱250! … See more"") and could not be fully verified; the full post was behind a login wall. Operating days/hours are inferred only from the three upcoming Reclub activities visible (Wed, Fri, Sat 4PM–10PM); other days may also have sessions but are not confirmed."
ph-blue-ridge-pickleball-club-quezon-city,session_per_player,Wednesday Open Play (8AM-12NN),150,PHP,,wed,08:00,12:00,240,,,high,"Recurring every Wednesday, hosted by Blue Ridge Pickleball Club at Blue Ridge B Multi-Purpose Gym",Open Play 8am to 12 noon ... Per Player $150.00,Reclub lists a recurring Wednesday 8AM-12NN open play at ₱150/player. Currency shown as $ but contextually PHP. No other days/rates published; FB group is private.
ph-bravo-pickleball-vista-mall-bataan-balanga,court_hour,Ball machine / drill machine rental,600,PHP,,,,,60,,,low,"Rate is for the drill/ball machine rental only, not court rental. Court rental rates not published.",you can rent our ball machine for only P600/hr,"No court rental or open play session rates are published on any available source; the only numeric price found is the ball machine rental at ₱600/hr from a Facebook post. Reclub and Facebook both direct inquiries to the admin (0956-713-7167 / 0917-853-7787). Hours are described only as ""mall hours"" with no specific open/close times. Legacy hint of ₱150–200 range could not be verified from any source."
ph-camp-ola-pickleball-courts-legazpi-legazpi-city,free,Free public courts,0,PHP,walk_in,,,,,,,low,Permanent lines and portable nets available; inside secured camp environment.,Free public courts per Pickleheads.,"All source URLs failed to fetch, including the Pickleheads page (blocked by Cloudflare). The only usable signal is the legacy normaliser note stating ""Free public courts per Pickleheads."" No operating hours were recoverable from any source."
ph-ccf-center-pickleball-pasig,session_per_player,Open Play · Walk-in,200,PHP,walk_in,fri,18:30,21:30,180,,,high,"6 courts total: 4 open play, 2 coaching. Contact: Kenneth Ti 0917-808-3809","CCF Center 7/F, CCF Gym, Ortigas Ave cor C5 Pasig NCR 6 4 open play, 2 coaching Fri, 630p-930p p200/player Kenneth Ti","Schedule and price come from a clear verbatim entry in the Philippine Pickleball Federation directory (Sept 1, 2025). Only Friday hours are confirmed; no other days listed. Facebook page confirms venue location but shows login wall with no additional pricing or schedule detail."
ph-corinthian-gardens-pickleball-club-quezon-city,session_per_player,Friday DUPR Night · Walk-in / Non-resident,250,PHP,walk_in,fri,18:00,22:00,240,,27,medium,4-hour DUPR rated open play session. Max 27 players. Payment via GCash or BDO to Jason Bangayan required to confirm slot. Cut-off Friday 4PM. No cancellation/refund from Thursday onwards.,Fee: P250,"Only one confirmed session (Friday DUPR Night) is available from the Reclub source; operating hours for other days are unknown. The Reclub UI displayed ""$250.00"" but the body text clearly states ""Fee: P250"" in PHP, so PHP is used. Legacy hints citing ₱170–220 from Pickleball.ph are likely outdated; the current Reclub rate of ₱250 (non-resident) / ₱180 (resident) is used as the authoritative figure. Pickleheads was blocked and provided no usable data."
ph-corinthian-gardens-pickleball-club-quezon-city,session_per_player,Friday DUPR Night · Corinthian Gardens Resident,180,PHP,homeowner,fri,18:00,22:00,240,,27,medium,Discounted rate for Corinthian Gardens residents. Same 4-hour DUPR session. Payment required to confirm slot.,Residents pay only P180,"Only one confirmed session (Friday DUPR Night) is available from the Reclub source; operating hours for other days are unknown. The Reclub UI displayed ""$250.00"" but the body text clearly states ""Fee: P250"" in PHP, so PHP is used. Legacy hints citing ₱170–220 from Pickleball.ph are likely outdated; the current Reclub rate of ₱250 (non-resident) / ₱180 (resident) is used as the authoritative figure. Pickleheads was blocked and provided no usable data."
ph-courtside-amore-daet,session_per_player,Open Play Night · Walk-in / General,250,PHP,walk_in,sat,15:00,23:00,480,,,low,Admission fee covers court play plus snacks and drinks for the night. Walk-ins accepted only when slots open up; charged the same fee regardless of arrival time. This was the inaugural open play event; regular pricing may differ.,"Per Player $250.00 … The admission fee for this session covers both your court play, and snacks and drinks for the night.","The only recoverable price (₱250/player) comes from a single inaugural event listing on Reclub, displayed as ""$250.00"" — a known Reclub PHP-display quirk; treated as PHP 250. Facebook and Instagram direct visitors to DM for rates, so no regular/recurring pricing is publicly available. Hours are inferred solely from this one event; standing schedule is unknown."
ph-dink-and-shot-marikina,session_per_player,Open Play · Per Player (Impact Open Play),200,PHP,,sat,15:00,18:00,180,,,high,Court fee per head for organised open play session; paid via Gcash. Entrance pass of ₱100 required on top.,court fee is only P200 per head which can be paid to Gcash number 09163180208,"Hours are verbatim from the venue website. Pricing is from a single Reclub Impact Open Play listing (May 3, 2025): ₱200/player court fee + ₱100 venue entrance pass. The venue's own booking site (booking.page) returned 404, so general court rental rates are not directly published; the legacy PDF ₱250/player rate could not be verified from accessible sources and is not included."
ph-dink-and-shot-marikina,entry_fee,Venue entrance pass,100,PHP,,,,,,,,high,Required per player; allows arrival 1 hour before and stay 1 hour after court reservation. Purchased via dinkandshot.com booking.,The venue also requires each player to purchase an entrance pass of P100 which allows you to arrive 1 hour before the court reservation and 1 hour after.,"Hours are verbatim from the venue website. Pricing is from a single Reclub Impact Open Play listing (May 3, 2025): ₱200/player court fee + ₱100 venue entrance pass. The venue's own booking site (booking.page) returned 404, so general court rental rates are not directly published; the legacy PDF ₱250/player rate could not be verified from accessible sources and is not included."
ph-dona-juana-subdivision-pickleball-pasig,unknown,DJS Basketball Court — open play (cost TBD),,PHP,,wed|sat,,,,,,low,Schedule: Wed & Sat 8a-12n; Sat also 7:30p-10:30p. Cost listed as 'tbd' in PPF directory. Separate PAPA-DJS session on Sat 2p-5p listed as 'Shared'.,"DJS Basketball Court Doña Juana Subd, C Reymundo Ave, Rosario Pasig NCR 3 Covered Wed, Sat, 8a-12n, Sat, 730-1030p tbd Bianca Cordova 0908-293-7155","Cost is explicitly listed as ""tbd"" in the September 2025 PPF directory; no amount is recoverable from any source. The Reclub page redirected through a Facebook external-link warning and yielded no pricing content. Hours are inferred from the PPF schedule column only."
ph-dragonsmash-taguig,court_hour,Court rental,350,PHP,,,,,60,,,medium,Indoor wood and acrylic courts; portable nets available. Booking required via website.,350 per hour,"Hours confirmed verbatim from venue website (""open daily, with court hours from 7:00 AM to 12 Midnight""). Price of ₱350/hour sourced from Pickleheads listing only — no rate breakdown (peak/off-peak, member/non-member) was available from any source. Facebook page was inaccessible."
ph-fairview-terraces-pickleball-quezon-city,session_per_player,Open Play · BYO Paddle,100,PHP,walk_in,mon|tue|wed|thu|fri|sat|sun,17:00,21:00,,,,medium,Bring your own paddle,PHP 100/head – bring your own paddle,"Pricing is read from a promotional image in the Facebook post (June 27, 2025); text is legible but image-sourced. The July free-play promo is time-limited and may no longer apply. Paddle rental (PHP 50/hour) is listed on the image but applies as an add-on, not a standalone session price, so it is captured in notes only. Hours derived by combining the two schedule windows (court rental 10AM–5PM + open play 5PM–9PM = 10AM–9PM daily); mall hours for Fri–Sun are 10AM–10PM but pickleball close is stated as 9PM."
ph-fairview-terraces-pickleball-quezon-city,session_per_player,Open Play · Paddle Provided,150,PHP,walk_in,mon|tue|wed|thu|fri|sat|sun,17:00,21:00,,,,medium,Paddle provided by venue,PHP 150/head – paddle provided,"Pricing is read from a promotional image in the Facebook post (June 27, 2025); text is legible but image-sourced. The July free-play promo is time-limited and may no longer apply. Paddle rental (PHP 50/hour) is listed on the image but applies as an add-on, not a standalone session price, so it is captured in notes only. Hours derived by combining the two schedule windows (court rental 10AM–5PM + open play 5PM–9PM = 10AM–9PM daily); mall hours for Fri–Sun are 10AM–10PM but pickleball close is stated as 9PM."
ph-fairview-terraces-pickleball-quezon-city,court_hour,Court Rental · 2 Players,250,PHP,walk_in,mon|tue|wed|thu|fri|sat|sun,10:00,17:00,60,2,2,medium,Rate is per court per hour for 2 players,2 players – PHP 250,"Pricing is read from a promotional image in the Facebook post (June 27, 2025); text is legible but image-sourced. The July free-play promo is time-limited and may no longer apply. Paddle rental (PHP 50/hour) is listed on the image but applies as an add-on, not a standalone session price, so it is captured in notes only. Hours derived by combining the two schedule windows (court rental 10AM–5PM + open play 5PM–9PM = 10AM–9PM daily); mall hours for Fri–Sun are 10AM–10PM but pickleball close is stated as 9PM."
ph-fairview-terraces-pickleball-quezon-city,court_hour,Court Rental · 3 Players,300,PHP,walk_in,mon|tue|wed|thu|fri|sat|sun,10:00,17:00,60,3,3,medium,Rate is per court per hour for 3 players,3 players – PHP 300,"Pricing is read from a promotional image in the Facebook post (June 27, 2025); text is legible but image-sourced. The July free-play promo is time-limited and may no longer apply. Paddle rental (PHP 50/hour) is listed on the image but applies as an add-on, not a standalone session price, so it is captured in notes only. Hours derived by combining the two schedule windows (court rental 10AM–5PM + open play 5PM–9PM = 10AM–9PM daily); mall hours for Fri–Sun are 10AM–10PM but pickleball close is stated as 9PM."
ph-fairview-terraces-pickleball-quezon-city,court_hour,Court Rental · 4 Players,350,PHP,walk_in,mon|tue|wed|thu|fri|sat|sun,10:00,17:00,60,4,4,medium,Rate is per court per hour for 4 players,4 players – PHP 350,"Pricing is read from a promotional image in the Facebook post (June 27, 2025); text is legible but image-sourced. The July free-play promo is time-limited and may no longer apply. Paddle rental (PHP 50/hour) is listed on the image but applies as an add-on, not a standalone session price, so it is captured in notes only. Hours derived by combining the two schedule windows (court rental 10AM–5PM + open play 5PM–9PM = 10AM–9PM daily); mall hours for Fri–Sun are 10AM–10PM but pickleball close is stated as 9PM."
ph-fairview-terraces-pickleball-quezon-city,free,Free Open Court & Court Rentals via Reclub (July promo),0,PHP,,,,,,,,medium,Promotional offer for the whole month of July only; register via Reclub,Register via Reclub for FREE open court and court rentals for the whole month of July,"Pricing is read from a promotional image in the Facebook post (June 27, 2025); text is legible but image-sourced. The July free-play promo is time-limited and may no longer apply. Paddle rental (PHP 50/hour) is listed on the image but applies as an add-on, not a standalone session price, so it is captured in notes only. Hours derived by combining the two schedule windows (court rental 10AM–5PM + open play 5PM–9PM = 10AM–9PM daily); mall hours for Fri–Sun are 10AM–10PM but pickleball close is stated as 9PM."
ph-filinvest-east-homes-pickleball-courts-cainta,session_per_player,Open play (lower tier),120,PHP,,mon|wed|fri|sat,,,,,,medium,Two-tier pricing ₱120/₱200 per player; tier audience not specified on source (likely resident vs guest),"Filinvest East Homes Pickleball Courts ... MWFSa, 6:30a-8:30a; 4p-9p p120/200",PPF PDF lists two prices (₱120/₱200) without explicit member/guest labels. Encoded as two session_per_player tiers with audience blank; legacy hint suggests resident vs guest. Hours shown as two windows on MWF/Sat — represented with open/close spanning both windows and the split noted.
ph-filinvest-east-homes-pickleball-courts-cainta,session_per_player,Open play (higher tier),200,PHP,,mon|wed|fri|sat,,,,,,medium,Two-tier pricing ₱120/₱200 per player; tier audience not specified on source (likely resident vs guest),"Filinvest East Homes Pickleball Courts ... MWFSa, 6:30a-8:30a; 4p-9p p120/200",PPF PDF lists two prices (₱120/₱200) without explicit member/guest labels. Encoded as two session_per_player tiers with audience blank; legacy hint suggests resident vs guest. Hours shown as two windows on MWF/Sat — represented with open/close spanning both windows and the split noted.
ph-five-s-pickleball-general-mamerto-natividad,free,Community play (free),0,PHP,,,,,,,,high,3x weekly schedule; call to coordinate. Contact: Librado Santos 0917-681-7001,"Five-S Pickleball General Mamerto Natividad Nueva Ecija 3 Covered Courts 3x weekly, Call for schedule Free Librado 0917-681-7001 libradosantos817@gmail.com","Price and free-play status are clearly stated in the Philippine Pickleball Federation PDF. Specific days and times are not published — only ""3x weekly, Call for schedule"" is given; hours cannot be resolved without contacting the venue directly."
ph-jcas-malolos-malolos,court_hour,1 Hour Pickleball Court Rental (online),320,PHP,walk_in,,,,60,,,medium,Online booking rate is inclusive of ₱20.00 online processor fee; base court rate is effectively ₱300/hr,1 Hour PICKLEBALL Court Rental ... Online Booking rate is inclusive of Php20.00 online processor fee. ... Price: ₱320.00,"Two distinct pricing models are present: court rental at ₱320/hr (online, incl. ₱20 processor fee) from the booking page, and ₱150/player session play on Tue/Thu/Sat 5–9PM from the pickleball.ph PDF. The legacy note's ₱150/player aligns with the PDF. It is unclear whether the ₱300 walk-in/offline court rate also applies, as only the online price (₱320) is explicitly stated on the booking page."
ph-jcas-malolos-malolos,session_per_player,Open Play Session · Per Player,150,PHP,walk_in,tue|thu|sat,17:00,21:00,,,,medium,From pickleball.ph directory listing,"JCAS Malolos City Bulacan NCR 2 Indoor Courts Tue, Thu, Sat, 5p-9p p150 Jennalyn Tumale","Two distinct pricing models are present: court rental at ₱320/hr (online, incl. ₱20 processor fee) from the booking page, and ₱150/player session play on Tue/Thu/Sat 5–9PM from the pickleball.ph PDF. The legacy note's ₱150/player aligns with the PDF. It is unclear whether the ₱300 walk-in/offline court rate also applies, as only the online price (₱320) is explicitly stated on the booking page."
ph-makati-pickleball-club-makati,session_per_player,Open play,200,PHP,,tue|thu,10:00,13:00,,,,high,"Held at 7224 Malugay St., cor Buendia (shared with The Zone Sports Center)","Makati Pickleball Club 7224 Malugay St., cor Buendia Makati NCR 6 Indoor Courts Tue/Thu, 10a-1p p200/player",Pricing and schedule from pickleball.ph PDF (Sep 2025). Pickleheads listing for shared venue (Zone Sports Center) confirms ₱200 open play rate. No separate entrance fee confirmed for Makati Pickleball Club specifically.
ph-mira-nila-clubhouse-pickleball-quezon-city,session_per_player,Saturday Open Play,170,PHP,walk_in,sat,09:00,13:00,240,,34,high,"3 lined courts, max 34 players. Rental paddles available for ₱50 extra. Payment via GCash; slot confirmed only after uploading proof of payment. Payments transferable but non-refundable. 12-hr freeze time applies for cancellations.","Open Play is just ₱170 per player, making it easy to enjoy competitive games, meet fellow enthusiasts, and be part of a growing pickleball community.","All pricing and hours sourced directly from the Reclub club page and the specific event listing (QYDZQU), both consistently showing ₱170/player for Saturday 9AM–1PM sessions. The event page displays ""$170.00"" with a USD symbol, but the club description explicitly uses ₱170 (PHP) — treated as a Reclub display artefact. Legacy flagged range (₱150–200) is not supported by any current source; ₱170 is the only stated rate. No weekday or other-day hours found."
ph-mira-nila-clubhouse-pickleball-quezon-city,entry_fee,Paddle Rental,50,PHP,,sat,09:00,13:00,,,,high,Optional paddle rental add-on; not required if you bring your own.,Rental paddles are available for only ₱50,"All pricing and hours sourced directly from the Reclub club page and the specific event listing (QYDZQU), both consistently showing ₱170/player for Saturday 9AM–1PM sessions. The event page displays ""$170.00"" with a USD symbol, but the club description explicitly uses ₱170 (PHP) — treated as a Reclub display artefact. Legacy flagged range (₱150–200) is not supported by any current source; ₱170 is the only stated rate. No weekday or other-day hours found."
ph-nawa-wellness-pickleball-calatagan,unknown,Court rental — call for rate,,PHP,,,,,,,,low,2 outdoor courts. Schedule is by schedule daily. Contact Tanya Delder 0967-431-4420 tanya.deldar@nawawellness.com,"Nawa Wellness, Eco Luxury Resort QMM8+PJX Calatagan Batangas 2 Outdoor Courts By schedule daily Call Tanya Delder 0967-431-4420 tanya.deldar@nawawellness.com","The only structured data source is the Philippine Pickleball Federation PDF, which lists cost as ""Call"" with no PHP amount recoverable. The venue website confirms pickleball courts exist as a guest amenity but provides no pricing. All other sources (Reclub, Pickleheads, TripAdvisor, Facebook, Instagram) either failed to load or contained no pricing information."
ph-one-serendra-pickleball-club-bgc-taguig,session_per_player,Evening Open Play · Per Player,100,PHP,walk_in,tue,20:00,22:00,120,,,medium,"Beginner to Intermediate. Pickleballs provided; bring own paddle. Payment via GCash. No walk-ins — pre-payment required to be added to guest list. Minimum 8 players or event may be cancelled and refunded. One Serendra Palm Tower basement, 2 courts reserved.",💸 ₱100 per person for 2hrs,"Only one specific Tuesday evening session (Feb 3, 2026) is confirmed from Reclub — it is unclear whether this is a fixed recurring weekly schedule or an ad-hoc event. The Facebook post (2019) confirms pickleball activity at the venue but provides no pricing or hours. Operating hours outside of this Tuesday session are unknown."
ph-pal-sports-center-pasig,free,Open Play (Mon–Fri Morning),0,PHP,,mon|tue|wed|thu|fri,08:00,12:00,,,,high,2 Indoor Courts,"PAL Sports Center Nicols Road Pasay NCR 2 Indoor Courts Mon-Fri, 8a-12nn Free Renzo Zafra","All data sourced from the Philippine Pickleball Federation PDF (Sep 1, 2025). The venue is listed under Pasay (not Pasig as in the legacy hint). No weekend hours listed; venue appears to operate Mon–Fri mornings only at no cost."
ph-paradiso-verde-sport-center-labo,court_hour,Pickleball Court Rental (Covered),250,PHP,,,,,60,,,medium,Covered court. Rate announced as part of new court launch.,Pickleball (Covered Court – only ₱250/hour!),"Court rental rate (₱250/hr) comes from a Facebook announcement post; open play rate (₱180/player, 2–7 PM) comes from Sparrk which was marked Temporarily Closed at extraction time. Full weekly operating hours are not published on any accessible source — only the open play Sparrk slot (Tuesday, 2–7 PM) provides a time reference. Resort entrance fee of ₱150 applies to non-playing guests/companions per Sparrk house rules."
ph-paradiso-verde-sport-center-labo,session_per_player,Open Play Session,180,PHP,walk_in,,14:00,19:00,300,,,medium,Part of Paradiso Verde soft launch. Open rotation/Dink & Drink format. Limited slots. Sparrk listing marked Temporarily Closed at time of extraction.,Open Play Starts at ₱180 … 2pm - 7pm ₱180 35 left,"Court rental rate (₱250/hr) comes from a Facebook announcement post; open play rate (₱180/player, 2–7 PM) comes from Sparrk which was marked Temporarily Closed at extraction time. Full weekly operating hours are not published on any accessible source — only the open play Sparrk slot (Tuesday, 2–7 PM) provides a time reference. Resort entrance fee of ₱150 applies to non-playing guests/companions per Sparrk house rules."
ph-paradiso-verde-sport-center-labo,entry_fee,Resort Entrance Fee (Guest/Plus One),150,PHP,guest,,,,,,,medium,Applies to any companion/guest who needs to enter the resort grounds to accompany a booked player.,"If you have a plus one or a guest, they will need to pay an entrance fee of ₱150 to enter the resort.","Court rental rate (₱250/hr) comes from a Facebook announcement post; open play rate (₱180/player, 2–7 PM) comes from Sparrk which was marked Temporarily Closed at extraction time. Full weekly operating hours are not published on any accessible source — only the open play Sparrk slot (Tuesday, 2–7 PM) provides a time reference. Resort entrance fee of ₱150 applies to non-playing guests/companions per Sparrk house rules."
ph-pickle-play-cavite,session_per_player,Morning Open Play,150,PHP,walk_in,,07:00,12:00,300,,,medium,All Levels; Skill-based Matching; up to 6 courts available,☀️ FRI Morning Open Play | 7AM - 12NN | ₱150 | All Levels | 6 COURTS | Skill-based Matching,All pricing is clearly sourced from Reclub activity listings (session_per_player model). Tuesday–Thursday sessions are inferred from the repeating daily pattern visible across Fri/Sat/Sun/Mon; no explicit listings for those days were shown in the screenshot. Drill sessions appear only on Mon and Fri in visible upcoming schedule. Legacy note of ₱300/hr court rental could not be verified from current sources; no court_hour pricing row was emitted.
ph-pickle-play-cavite,session_per_player,Afternoon Open Play,150,PHP,walk_in,,13:00,18:00,300,,,medium,All Levels; Skill-based Matching; up to 4 courts available,⛅️ FRI Afternoon Open Play | 1:00PM-6:00PM | ₱150 | 4 COURTS | All Levels | Skill-based Matching,All pricing is clearly sourced from Reclub activity listings (session_per_player model). Tuesday–Thursday sessions are inferred from the repeating daily pattern visible across Fri/Sat/Sun/Mon; no explicit listings for those days were shown in the screenshot. Drill sessions appear only on Mon and Fri in visible upcoming schedule. Legacy note of ₱300/hr court rental could not be verified from current sources; no court_hour pricing row was emitted.
ph-pickle-play-cavite,session_per_player,Night Open Play,200,PHP,walk_in,,18:00,23:00,300,,,medium,All Levels; Skill-based Matching; up to 6 courts available,🌙 FRI Night Open Play | 6:00PM - 11:00PM | ₱200 | 6 COURTS | All Levels | Skill-based Matching,All pricing is clearly sourced from Reclub activity listings (session_per_player model). Tuesday–Thursday sessions are inferred from the repeating daily pattern visible across Fri/Sat/Sun/Mon; no explicit listings for those days were shown in the screenshot. Drill sessions appear only on Mon and Fri in visible upcoming schedule. Legacy note of ₱300/hr court rental could not be verified from current sources; no court_hour pricing row was emitted.
ph-pickle-play-cavite,session_per_player,Beginner to Intermediate Drill Session,300,PHP,walk_in,mon|fri,14:00,17:00,180,,,medium,Appears on Mon and Fri in upcoming schedule; may run other days as well,Beginner to Intermediate Drill Sessions | 2pm - 5pm | ₱300,All pricing is clearly sourced from Reclub activity listings (session_per_player model). Tuesday–Thursday sessions are inferred from the repeating daily pattern visible across Fri/Sat/Sun/Mon; no explicit listings for those days were shown in the screenshot. Drill sessions appear only on Mon and Fri in visible upcoming schedule. Legacy note of ₱300/hr court rental could not be verified from current sources; no court_hour pricing row was emitted.
