Topic,Question / Requirement,Priority,Needed before owner demo?,Decision / Working Assumption,Owner,Status,Progress
Venue Setup,Operating hours / availability per court,Must have,Yes,Schedule config per court,Dev,Open,DONE
Venue Setup,Separate venue website field vs platform booking link,Must have,Yes,Two distinct fields,Dev,Open,DONE
Venue Setup,Profile completion prompts,Medium,No,Encourage complete listings,Product,Open,DONE
Venue Setup,"Amenities/facilities (parking, showers, aircon, lighting, indoor/outdoor)",Medium,No,Filterable attributes for player search/SEO,Product,Open,DONE
Venue Setup,Venue claim flow (claim unclaimed directory listing),High,No,Core to SEO directory strategy,Product+Dev,Open,DONE
Multi-Sport,Court sport/type field in data model,Strategic,Data model: Yes; UI: TBD,Don't block multi-sport; court has sport field,Dev,Open,DONE
Multi-Sport,Should multi-sport be visible in first demo or only in data model?,Strategic,Open question,Decide demo scope,Product,Open,DONE
Dashboard,"Owner view: revenue, occupancy, business performance",Must have,Yes,Owner-focused metrics,Product,Open,DONE
Dashboard,"Operator/staff view: today's schedule, pending approvals, manual entries, cancellations",High,Yes,Distinguish owner vs operator roles,Product,Open,
Dashboard,"Who is primary dashboard user: owner, manager, front-desk, or all? Multiple users, different levels of access?",High,Yes,Role-based views,Product,Open,
Analytics,Busiest hours / underused slots / revenue by court,Roadmap,No,First actionable analytics layer,Product,Deferred,DONE
Analytics,Minimum credible analytics view before owner demo,High,Yes,Define MVP analytics,Product,Open,DONE
Analytics,"Demand data capture (searches, views, attempts, completions, cancellations, empty slots)",High,No,Foundation for future dynamic pricing,Dev,Open,DONE
Content,Platform-curated highlights (not owner-invented claims),Medium,No,From PB data or editorial review,Product,Open,DONE
Access,Multi-user/staff accounts per venue with permissions,High,No,Owner vs staff roles & permissions,Dev,Open,
Access,Owner identity verification / anti-fraud on venue claim,Medium,No,Prevent false claims,Product,Open,DONE
Payments,Payout schedule & reconciliation to venue (how/when venues get paid),High,Yes,PayMongo/Xendit split-payment to venue,Product+Dev,Open,DONE
Payments,BIR-compliant receipts / official receipt generation,High,No,Part of free SaaS offer,Dev,Open,DONE
Payments,"Cash booking leakage mitigation (slots published, POS routing)",High,No,Accept 30-40% leakage; mitigate via speed + POS,Product,Open,DONE
Notifications,Push notifications (APNs/FCM) for booking confirmations & rebook loop,High,No,Capacitor wrappers enable native push,Dev,Open,DONE
Comms,In-app messaging or inquiry handling owner-to-player,Medium,No,Replaces Messenger/IG coordination,Product,Open,DONE
Process,Create & maintain master requirements sheet,Must have,Yes,This sheet,Product lead,In progress,
Process,Map owner features by priority (must-have vs roadmap),Must have,Yes,Feature-priority matrix,Product+Dev,Open,DONE
Process,"Research first target venues (systems used, membership needs)",Must have,Yes,Know requirements before demo,Business/Dev,Open,DONE
Process,Schedule recurring demo reviews,High,No,Correct product mid-build,Project lead,Open,DONE
